date,generated_at,window_hours,region,kind,service,service_slug,protocol,provider,provider_type,target,status
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,direct,direct,,,Beeline,mobile,PornHub,warn
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,direct,direct,,,Beeline,mobile,instagram_home,fail
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,direct,direct,,,Beeline,mobile,youtube_home,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,direct,direct,,,Beeline,mobile,telegram_org,fail
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,direct,direct,,,Beeline,mobile,telegram_mtproto,fail
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,direct,direct,,,Beeline,mobile,whatsapp_web,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,direct,direct,,,MTS,mobile,PornHub,fail
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,direct,direct,,,MTS,mobile,instagram_home,fail
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,direct,direct,,,MTS,mobile,youtube_home,fail
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,direct,direct,,,MTS,mobile,telegram_org,fail
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,direct,direct,,,MTS,mobile,telegram_mtproto,fail
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,direct,direct,,,MTS,mobile,whatsapp_web,fail
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,direct,direct,,,Megafon,mobile,PornHub,fail
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,direct,direct,,,Megafon,mobile,instagram_home,fail
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,direct,direct,,,Megafon,mobile,youtube_home,fail
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,direct,direct,,,Megafon,mobile,telegram_org,fail
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,direct,direct,,,Megafon,mobile,telegram_mtproto,fail
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,direct,direct,,,Megafon,mobile,whatsapp_web,fail
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,direct,direct,,,Ростелеком,wired,PornHub,fail
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,direct,direct,,,Ростелеком,wired,instagram_home,fail
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,direct,direct,,,Ростелеком,wired,youtube_home,fail
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,direct,direct,,,Ростелеком,wired,telegram_org,fail
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,direct,direct,,,Ростелеком,wired,telegram_mtproto,fail
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,direct,direct,,,Ростелеком,wired,whatsapp_web,fail
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Durev VPN,durev-vpn,xray,Beeline,mobile,PornHub,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Durev VPN,durev-vpn,xray,Beeline,mobile,instagram_home,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Durev VPN,durev-vpn,xray,Beeline,mobile,youtube_home,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Durev VPN,durev-vpn,xray,Beeline,mobile,telegram_org,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Durev VPN,durev-vpn,xray,Beeline,mobile,whatsapp_web,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Durev VPN,durev-vpn,xray,MTS,mobile,PornHub,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Durev VPN,durev-vpn,xray,MTS,mobile,instagram_home,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Durev VPN,durev-vpn,xray,MTS,mobile,youtube_home,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Durev VPN,durev-vpn,xray,MTS,mobile,telegram_org,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Durev VPN,durev-vpn,xray,MTS,mobile,whatsapp_web,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Durev VPN,durev-vpn,xray,Megafon,mobile,PornHub,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Durev VPN,durev-vpn,xray,Megafon,mobile,instagram_home,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Durev VPN,durev-vpn,xray,Megafon,mobile,youtube_home,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Durev VPN,durev-vpn,xray,Megafon,mobile,telegram_org,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Durev VPN,durev-vpn,xray,Megafon,mobile,whatsapp_web,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Durev VPN,durev-vpn,xray,Ростелеком,wired,PornHub,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Durev VPN,durev-vpn,xray,Ростелеком,wired,instagram_home,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Durev VPN,durev-vpn,xray,Ростелеком,wired,youtube_home,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Durev VPN,durev-vpn,xray,Ростелеком,wired,telegram_org,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Durev VPN,durev-vpn,xray,Ростелеком,wired,whatsapp_web,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,impVPN,impvpn,xray,Beeline,mobile,PornHub,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,impVPN,impvpn,xray,Beeline,mobile,instagram_home,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,impVPN,impvpn,xray,Beeline,mobile,youtube_home,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,impVPN,impvpn,xray,Beeline,mobile,telegram_org,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,impVPN,impvpn,xray,Beeline,mobile,whatsapp_web,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,impVPN,impvpn,xray,MTS,mobile,PornHub,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,impVPN,impvpn,xray,MTS,mobile,instagram_home,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,impVPN,impvpn,xray,MTS,mobile,youtube_home,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,impVPN,impvpn,xray,MTS,mobile,telegram_org,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,impVPN,impvpn,xray,MTS,mobile,whatsapp_web,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,impVPN,impvpn,xray,Megafon,mobile,PornHub,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,impVPN,impvpn,xray,Megafon,mobile,instagram_home,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,impVPN,impvpn,xray,Megafon,mobile,youtube_home,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,impVPN,impvpn,xray,Megafon,mobile,telegram_org,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,impVPN,impvpn,xray,Megafon,mobile,whatsapp_web,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,impVPN,impvpn,xray,Ростелеком,wired,PornHub,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,impVPN,impvpn,xray,Ростелеком,wired,instagram_home,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,impVPN,impvpn,xray,Ростелеком,wired,youtube_home,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,impVPN,impvpn,xray,Ростелеком,wired,telegram_org,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,impVPN,impvpn,xray,Ростелеком,wired,whatsapp_web,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Banksy VPN,,xray,Beeline,mobile,PornHub,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Banksy VPN,,xray,Beeline,mobile,instagram_home,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Banksy VPN,,xray,Beeline,mobile,youtube_home,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Banksy VPN,,xray,Beeline,mobile,telegram_org,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Banksy VPN,,xray,Beeline,mobile,whatsapp_web,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Banksy VPN,,xray,MTS,mobile,PornHub,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Banksy VPN,,xray,MTS,mobile,instagram_home,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Banksy VPN,,xray,MTS,mobile,youtube_home,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Banksy VPN,,xray,MTS,mobile,telegram_org,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Banksy VPN,,xray,MTS,mobile,whatsapp_web,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Banksy VPN,,xray,Megafon,mobile,PornHub,fail
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Banksy VPN,,xray,Megafon,mobile,instagram_home,fail
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Banksy VPN,,xray,Megafon,mobile,youtube_home,fail
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Banksy VPN,,xray,Megafon,mobile,telegram_org,fail
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Banksy VPN,,xray,Megafon,mobile,whatsapp_web,fail
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Banksy VPN,,xray,Ростелеком,wired,PornHub,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Banksy VPN,,xray,Ростелеком,wired,instagram_home,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Banksy VPN,,xray,Ростелеком,wired,youtube_home,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Banksy VPN,,xray,Ростелеком,wired,telegram_org,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Banksy VPN,,xray,Ростелеком,wired,whatsapp_web,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Valutix Connect,,xray,Beeline,mobile,PornHub,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Valutix Connect,,xray,Beeline,mobile,instagram_home,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Valutix Connect,,xray,Beeline,mobile,youtube_home,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Valutix Connect,,xray,Beeline,mobile,telegram_org,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Valutix Connect,,xray,Beeline,mobile,whatsapp_web,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Valutix Connect,,xray,MTS,mobile,PornHub,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Valutix Connect,,xray,MTS,mobile,instagram_home,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Valutix Connect,,xray,MTS,mobile,youtube_home,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Valutix Connect,,xray,MTS,mobile,telegram_org,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Valutix Connect,,xray,MTS,mobile,whatsapp_web,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Valutix Connect,,xray,Megafon,mobile,PornHub,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Valutix Connect,,xray,Megafon,mobile,instagram_home,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Valutix Connect,,xray,Megafon,mobile,youtube_home,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Valutix Connect,,xray,Megafon,mobile,telegram_org,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Valutix Connect,,xray,Megafon,mobile,whatsapp_web,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Valutix Connect,,xray,Ростелеком,wired,PornHub,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Valutix Connect,,xray,Ростелеком,wired,instagram_home,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Valutix Connect,,xray,Ростелеком,wired,youtube_home,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Valutix Connect,,xray,Ростелеком,wired,telegram_org,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Valutix Connect,,xray,Ростелеком,wired,whatsapp_web,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Grimbird VPN,,xray,Beeline,mobile,PornHub,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Grimbird VPN,,xray,Beeline,mobile,instagram_home,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Grimbird VPN,,xray,Beeline,mobile,youtube_home,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Grimbird VPN,,xray,Beeline,mobile,telegram_org,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Grimbird VPN,,xray,Beeline,mobile,whatsapp_web,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Grimbird VPN,,xray,MTS,mobile,PornHub,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Grimbird VPN,,xray,MTS,mobile,instagram_home,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Grimbird VPN,,xray,MTS,mobile,youtube_home,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Grimbird VPN,,xray,MTS,mobile,telegram_org,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Grimbird VPN,,xray,MTS,mobile,whatsapp_web,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Grimbird VPN,,xray,Megafon,mobile,PornHub,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Grimbird VPN,,xray,Megafon,mobile,instagram_home,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Grimbird VPN,,xray,Megafon,mobile,youtube_home,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Grimbird VPN,,xray,Megafon,mobile,telegram_org,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Grimbird VPN,,xray,Megafon,mobile,whatsapp_web,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Grimbird VPN,,xray,Ростелеком,wired,PornHub,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Grimbird VPN,,xray,Ростелеком,wired,instagram_home,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Grimbird VPN,,xray,Ростелеком,wired,youtube_home,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Grimbird VPN,,xray,Ростелеком,wired,telegram_org,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,Grimbird VPN,,xray,Ростелеком,wired,whatsapp_web,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,One Bucks VPN,,xray,Beeline,mobile,PornHub,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,One Bucks VPN,,xray,Beeline,mobile,instagram_home,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,One Bucks VPN,,xray,Beeline,mobile,youtube_home,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,One Bucks VPN,,xray,Beeline,mobile,telegram_org,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,One Bucks VPN,,xray,Beeline,mobile,whatsapp_web,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,One Bucks VPN,,xray,MTS,mobile,PornHub,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,One Bucks VPN,,xray,MTS,mobile,instagram_home,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,One Bucks VPN,,xray,MTS,mobile,youtube_home,fail
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,One Bucks VPN,,xray,MTS,mobile,telegram_org,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,One Bucks VPN,,xray,MTS,mobile,whatsapp_web,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,One Bucks VPN,,xray,Megafon,mobile,PornHub,fail
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,One Bucks VPN,,xray,Megafon,mobile,instagram_home,fail
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,One Bucks VPN,,xray,Megafon,mobile,youtube_home,fail
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,One Bucks VPN,,xray,Megafon,mobile,telegram_org,fail
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,One Bucks VPN,,xray,Megafon,mobile,whatsapp_web,fail
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,One Bucks VPN,,xray,Ростелеком,wired,PornHub,ok
2026-08-30,2026-08-30T09:42:04.787504+00:00,24,eu,vpn,One Bucks VPN,,xray,Ростелеком,wired,instagram_home,ok
